quechua,english
ch'ampa,entangled
ch'anqay,to throw
ch'anyita,black and yellow bird used to draw lucks from a box
ch'apu,bearded
ch'aqe,type of soup 
ch'aran,wet
ch'aranchay,to make wet
ch'arki,jerky; thin
ch'arkiy,to make jerky
ch'arkiyay,to become thin
ch'aska,star (usually Venus)
ch'aska ñawi,"big, beautiful eyes "
ch'ataj,the sound of closing a lock
ch'atay,"to fasten; to accuse, denounce"
ch'awara,type of rope
ch'away,to milk
ch'awjra,"dry stick, branch"
ch'elqey,to squish between the fingers
ch'eqoy,"to work stone, metal or wood"
ch'ichi,dirty
ch'ichichay,to make dirty
ch'ijtay,to cut firewood; to break open a slaughtered lamb
ch'illa,bladder
ch'illawi,wheat or grass stock used to feed livestock
ch'illchimuy,to sprout a new plant 
ch'illpiy,to mark livestock by cutting their ears
ch'in,"quiet, silent; silence"
ch'in pacha,quiet place; desert 
ch'inyay,"to shut up, be quiet"
ch'iñi,very small
ch'ipa,net used to carry things
ch'ipeyay,to entangle
ch'iqey,to scatter
ch'ira,tool used to dig potatoes (also lank'ana)
ch'irmiy,to blink 
ch'irway,to squeeze; to wring out 
ch'isi,evening; last evening
ch'isiyay,to become evening
ch'iti,"child, little brat"
ch'iya,larva
ch'ojñi,crust on the eyelids
ch'onqay,to suck
Ch'onqeri,train station with eucalyptus trees on the way to Tecoya
ch'oqoy,to gulp
ch'ujlla,little hut out in the fields 
ch'uju,cough
ch'ujuy,to cough
ch'ultikuy,to wash oneself in water
ch'ultin,sound of entering water 
ch'ultiy,to enter into water 
ch'ulla,"odd, unpaired"
ch'ulla chaki,one legged
ch'ulla ñawi,one eyed
ch'ullu,cap with ear flaps (also lluch'u) 
ch'ullu ch'ullu,yellow flowered plant (zapatilla)
ch'umay,to strain
ch'umpi,brown
ch'umpi sara,type of corn
ch'unchula,intestine
ch'unqa ch'unqa,plant with red velvet flowers
ch'uñu,freeze dried potatoes
ch'uru,sea shell
ch'usu,"wrinkled, squinty"
ch'usaj,empty
ch'usay,to go far away
ch'useqa,owl
ch'uspa,little woven bag used to carry coca
ch'uspi,fly
ch'utay,to peel (like a tuna)
ch'utilluch'utiy,"to take off one's clothes, to drop one's pants"
ch'utiy,"to attack, hit (the hitting together of marbles)"
ch'utoj,the sound of a kiss
ch'utu,lump; hill; wad of coca in the mouth
ch'uwiy,to wrap
ch'uya,"clear, transparent"
chhajllu,type of plant (like sila sila)
chhaka,type of big ant
chhalla,dry corn plant; ox food; not heavy
chhama,mixture of coarse and fine elements
chhanqa,plate of food made with chicken or rabbit meat
chhapu,pitu mixed with caldo
chhapu chhapitu,very early in the morning
chhapuy,to mix grain with water
chharpu,cloudy; strained vision
chharpuykuy,"to struggle, strain (like an old truck on an incline)"
chhasay,to make a mistake in futbol
chhichhinakuy,to whisper
chhika,size; very
chhilkiwa,type of thorn 
chhilltu chilltu,plant with lavender flowers
chhiñi,bat
chhiru chhiru,type of bird
chhoqo,"long, oblong shaped"
chhukuy,"to take care of a crying baby, to rock a crying baby"
chhulla,dew
chhulla para,dew
chhullay,to dew 
chhullchu,type of black bird
chhullunka,ice
chhuluy,to peck
chhurku,curly
chhusuy,to disinflate; to silently pass gas
chhutu,bird beak
chhutuy,to peck
dejay,to leave (sp.)
de repente,"maybe, possibly; suddenly, all of a sudden (sp.) also re depente"
desgracia,"disgrace, misfortune (sp.)"
dia,day; birthday (sp.)
diachaku,birthday (sp.)
diachakuy,to celebrate a birthday (sp.)
Dios,God (sp.)
Diosman kutirej,convert
Diosman kutiriy,to repent; (lit.) to return to God
Diosmanta mañakuy,prayer; to pray; (lit.) to ask of God
Diospa atiynin,priesthood; (lit.) God's power
diospagarasunki,thank you; (lit.) God will repay you
diospagaray,to thank
disimbri,December (sp.)
disparate,nonsense (sp.)
durazno,peach (sp.)
engañay,"to deceive, to take advantage of (sp.)"
engaño,deception (sp.)
enqhay,to add wood to the fire
entiendey,to understand (sp.)
envidia,envy (sp.)
envidiay,to envy (sp.)
erqhe,crybaby
escribej,"secretary, scribe (sp.)"
escribiy,"to write (sp.), also qelqey"
espantakuy,"to be in awe, to be amazed (sp.)"
espiritu,"spirit, ghost"
espiritu pacha,spirit world
estaca,stake (sp.)
estancia,fields in the campo (sp.)
evangelio,gospel (sp.)
faltay,to lack (sp.)
familia,family (sp.)
fantasma,ghost (sp.)
fe,faith (sp.)
femanta willana,article of faith
feria,"fair, market"
fibriru,February (sp.)
fieru,ugly
finca,"ranch, farm (sp.)"
firmay,to sign (sp.)
fiesta,party (sp.)
fiestay,to party (sp.)
flaco,skinny (sp.)
fletay,to rent (sp.)
frasada,blanket
fregay,to go wrong; to break (sp.)
futbol,soccer (sp.)
gracias,thanks (sp.)
grano,grain (sp.)
Guindas Pampas,plain just before arriving at Tecoya from Betanzos
haba,broad bean (sp.)
holandesa,type of potato (sp.)
i,"isn't that so?, isn't that right?"
ichá,"possibly, maybe, perhaps"
ichapis,"possibly, maybe, perhaps"
icharí(s),"isn't that so?, isn't that right?"
ichhu,straw
iglesia,church (sp.)
illawa,tool used in weaving to keep the threads straight
ima,what?; thing; also
imajtin,why?
imajtinchus,because
imanay,to do what?
imarayku,why?
imaraykuchus,because
imaymana,"type, class"
imayna,how
imilla,young girl
inawa,"slip, inner skirt, woman's underware"
inglesia,church (sp.)
iniru,January (sp.)
insultay,"to insult, to disparage (sp.)"
inti,sun
inti t'ika,sunflower
inti wañuy,eclipse of the sun
inti yaykuy,sundown
iphuy,to drizzle
irpa,little bird; child
irqhe,cry baby
isabela,century plant
isañu,type of oca
iskay,two
iskay palabra,a few words
iskay sonqo,"doubtful, undecided"
iskaychay,to divide into two parts
iskayrayay,to doubt
ismusqa,rotten
ismuy,to rot
isq'on,nine
Istancia,place by the Tecoya thermal waters
ituy,to carry a pot from the oven to the table
itha,flea
ithiriy,to stand back
jach'u,used wad of coca or cane spit out of the mouth; Bolivian policeman (green uniform)
jach'u simi,habitual coca user
jach'uy,to chew or suck on substances that leave a residue in the mouth
jaku,let's go
jak'u,flour
jalq'a papa,type of potato
jallch'ay,to save
jallmay,to build a mound around a potato plant
jallp'a,earth; land
jallq'ay,black and white colored animal
jampi,medicine
jampiri,medicine man
jampiy,"to cure, to give medicine"
jampuy,to come returning
jamp'atu,toad
jamuy,to come
janaj,"high, far away"
janaj pacha,heaven
janak'achi,thorn bush with shiny leaves
janch'uy,to chew or suck on cane or corn stock
jank'a,toasted grain or legumes
jank'ay,to toast
jap'apeyay,"to make the sound of a goat, to baa"
jap'eqay,"to learn, to understand; to be sick due to Pachamama"
jap'ichiy,"to give, (lit.) to make receive; to turn on, to make catch"
jap'iy,"to receive, to take hold of, to grab onto"
jaqay,"yonder, over there"
jarap'ay,scarecrow
jark'ay,"to hold back, to impede"
jasp'iy,to scratch something
jasut'iy,"to whip, to punish (sp.)"
jatarichiy,"to make to stand up, to make to get up"
jatariy,"to stand up, to get up"
jatun,"big, grand"
jatun k'anchay,lightning
jat'aqo,plant with edible leaves
jaw!,"how spicy!, how hot!"
jawa,"outside; broad bean (sp.), see haba"
jawa laqha,outer darkness
jawiy,to anoint
jay?,"what?, used when something not heard or understood"
jaya,"picante, spicy, hot"
jayaqe,bitter; bile
jayk'a,"how many?, also mayk'a"
jayk'aj,"when, also mayk'aj"
jayt'arikuy,to stretch the legs out
jayt'ay,to kick
jayway,"to hand over, to give"
jich'ay,"to spill, to throw out a liquid"
jik'uy,to hicough
jina,"like, as"
jinay,to do like
jinti,"basin, tub to wash in"
jiq'eqay,to drown; to strangle
jisp'ana,"urinating organ, penis"
jisp'ay,to urinate
joq'o,wet
joq'ollu,pollywog
joq'oy,to wet
jucha,sin
juchachay,"to accuse, to make guilty"
juchallikuy,"to sin, (lit.) to carry sin"
juchayoj,sinner; guilty
juchasapa,sinner; guilty
juchata pampachay,to forgive sin
juch'uy,small
juku,owl
juk'ucha,mouse
juliu,July (sp.)
jullut'uma,a type of black and red snake
jumint'a,tamale
jumint'ay,to make tamales
jump'i,sweat
jump'iy,to sweat
juniu,June (sp.)
junta,council
junt'a,full
junt'asqa,very full
junt'ay,"to fill, to fulfill, to keep"
juñi,skein of yarn
jurk'uta,pigeon
jusi,sickle
jusk'u,hole
jusk'uy,to make a hole
jut'u,corn or haba stocks piled up in the field
juy!,Oh!
ka ka,"here, take this"
kacharipuy,to set free
kacharpari,farewell
kacharpariy,"to bid farewell, to send off"
kachay,to send
kachaykuy,"to send, to send down"
kachaykukuy,to run
kachi,salt
kachi churana,salt shaker
kaj,being
kalisto,eucalyptus (sp.)
kallpa,strength
kallpayoj,strong
kamachej,"ruler, leader"
kamachi,servant
kamachisqa,"commandment, law"
kamay,"to order, to govern, to command"
kampa,"person from Santa Cruz, also camba"
kanay,"to burn, to make a flame"
kanka,roast
kankay,to roast
kanlli,type of sagebrush
kantu,"border, edge"
kapuy,to have
karu,far away; expensive (sp.)
karuna,cloth put on burro's back for protection
karunchay,"to leave, to go far away"
kasaraku,wedding (sp.)
kasarakuy,to get married (sp.)
kasero,"buyer, customer (sp.)"
kasuy,to obey (sp.)
katari,snake
kawsay,to live; life
kay,to be; this; here
kedakuy,"to stay, to remain in one place (sp.)"
kichariy,to open
kiki-,same
killa,moon
killa wañuy,lunar eclipse
kinsa,three
kintamanta,in place of
kintal,"4 arrobas, 100 pounds"
kinuwa,"Andean rice, quinoa"
kirpay,"to top, to cover"
kiru,tooth
kiru k'ama,tooth ache
kuchuna,knife
kuchuy,to cut
kuka,"cocaine, coca"
kuku,"ghost, spirit"
kullachiy,to tickle
kulli,dark purple
kulli sara,purple corn
kunan,now
kunka,neck
kuntur,condor
kuraj,older
kuraj junta,high council
kuraka,chief
kurku,"beggar, party crasher"
kurkuwallajllay,to keep drinking until the last day of the fiesta
kusa,"good, well, fine"
kusi,happiness
kusi kusi,type of small spider
kusikuy,to be happy
kusisqa,happy
kutasqa,ground up
kutay,to grind
kuti,time
kutichiy,to answer; (lit.) to make return
kutipakuy,"to chew the cud, to ruminate"
kutipuy,to become
kutiriy,to get better (from an illness)
kutiy,to return
kuymi,toasted kinua
kuyayaykuy,to become skinny
kuyuy,to move
k'acha,"nice, friendly"
k'achachakuy,to flirt
k'achita,pretty
k'achitu,pretty
k'aja,heat
k'aja onqoy,fever
k'ajay,to be hot
k'ajcha,handball
k'ajchay,to tighten the weave of a weaving with the tool called wich'una
k'ajllay,"to break off a piece (like wood), to open something that is hard to open"
k'ajllu,hole
k'aka,short (skirt or pants)
k'aka siki,short (skirt or pants)
k'allampa,type of mushroom
k'allku,"bitter, sour"
k'amiy,to scold
k'analla,type of pottery
k'anchay,light; glory; to give light
k'anka,rooster; tall person
k'anti,the spinning tool (phushka) used to spin two threads together for weaving
k'antiy,to spin two threads together
k'apa,cartilage
k'aray,"to sting, to hurt (pain like alcohol on a wound)"
k'arku,vinagry
k'arkuchay,to make vinagry
k'arun,the sound of crunching in the mouth
k'askay,to get closer; to stick together
k'aspi,stick
k'ata,only (Coch.)
k'atu,"cartilagenous, rubbery"
k'ayra,frog
k'aywiy,"to be tired, to feel drowsy"
k'ichiy,to pinch
k'iluy,to wrap up a baby
k'intu,"small green pepper, also t'una uchu"
k'iri,"lump, knot from a wound"
k'isa,dried fruit
k'isay,to win a stare down
k'ispiñu,"dumpling, small ball of dough slightly steamed and then eaten"
k'ita,"wild, untamed"
k'uchu,inside corner
K'uchuk'uchuchay,"to straighten up, to clean, to organize, (lit.) to put in the corner"
k'uku,"not yet ripe, green, also llullu"
k'ukiyay,to eat green fruit
k'ullku,narrow
K'ullku,town near Betanzos where a Saturday market is held
k'ullu,wood
k'umpu,hat
k'umpuy,"to put a lid on a container, to cover, to put on a hat"
k'umuykuy,"to kneel, to bow"
k'urpa,dirt clod
k'uru,concave
k'utuy,to cut
k'uycha,rainbow
k'uyuray,to untwist
k'uyuy,to twist thread or rope
khachuy,to break or to bite off with the teeth
khaka,stutterer
khamuy,to chew
khaniy,to bite
khapa,crotch
khapay,to castrate; to take long strides
khara,dried manure
kharka,rough
kharkatitiy,"to shake, to tremble"
khasay,to burp
khipu,tuna spines; system by which the Incas kept records of various things with knots made in string
khirkinchu,armadillo
khiska,thorn
khitukuy,to scratch or rub against something
khuchi,pig; dirty
khuchi khuchi,non-edible onion like plant
khuchichakuy,to make a pig of oneself
khuchichay,to make dirty
khuru,worm; bug
khuska,together
khuskan,half again
khuyay,"to love, to have compassion; skinny, thin"
khuyuy,to whistle
lachiwana,black bee-like insect that carries honey
lachiwana misk'i,a type of honey
Lajas Mayu,man-made reservoir near Mojotorillo (petroglyphs are found there)
lajra,cracked
lajray,"to crack, to break, to scratch"
lampa,shovel
lampiy,to lick
lank'ana,"tool used to dig potatoes, also ch'ira"
lanti,"idol, graven image"
lap'a,droopy
laphi,leaf
laqaya,house without a roof
laq'a,"dull, unseasoned food"
laq'aj,sound of slapping
laq'ay,to slap
laqha,darkness
laqhay,to eat like a dog
laqhayay,to get dark
larq'a,irrigation ditch
lat'u,slow
lawa,type of thick soup
lawray,flame
laya,"type, class"
layqa,witch
layqay,to practice witchcraft
lerq'o,one-eyed
Lik'a Lik'a,place located behind Mayu Tampu
lokro,type of food
loq'osti,fruit like tumbo with black seeds
loq'o runtu,rotten egg
loqho,hole in cloth that is to be fixed
libro,book (sp.)
lijra,shoulder; wing
lisu,silly
liwa,5 kilometers (sp.)
lugar,place; time (sp.)
luk'i,board used in weaving
lurun,kidney
luruy,to take the white skin off of haba
llachuyay,to faint; to disrobe
llajllay,to carve wood
llajta,"town, city, country"
llajta masi,"fellow citizen, compatriot"
llajwa,hot sauce
llajway,"to lick; to taste, to try (food)"
llakikuy,"to feel bad; melancholy, depression"
llallawa,"two grown from one (corn, banana); city near Oruro"
llama,camel-like animal
llama kunka,long necked
llama untu,llama fat sold by llama herders
llamiy,"to taste, to try"
llanch'iy,to take out of the pot with the hand
llank'ay,to work
llankhay,to touch lightly with the fingers; to bother a person
llamp'u,soft
llamp'u sonqo,"soft-hearted, humble"
llant'a,firewood
llanthu,shade
llanthuy,to shade
llasa,heavy
llat'ay,to crawl
llave,key (sp.)
llaveray,to unlock (sp.)
llavey,to lock (sp.)
llawar,blood
llawar ch'onqa,type of plant
llawqhe,"loose, undone (like a belt)"
llawsa,"saliva, slobber"
llijlla,woven cape for women with elaborate border
llijt'a,ash of cactus or kinua chewed with coca
llika,cobweb
llika wira,protective body fat
llik'ichiri,"boogie man, the ripper"
llik'iy,"to rip, tear, break"
llilli,diaper rash
llimphu,"clean; totally, completely; all"
llimphuchay,"to make clean, to sanctify"
llimphuyay,to become clean
llink'i,"residue, filtrate; clay"
llint'ay,"to fold out and up, to curl"
lliphipiy,to shine
lliqhoy,to glance
lliuj lliuj,sound of lightning
llojchiy,to touch; to bother
llojsiy,to leave
llojt'un,deaf
lloq'ay,"to climb, to mount, to copulate"
lloq'e,left
lluch'uy,to disrobe
lluk'iy,to carry under the armpit
llulla,lie; liar
llullakuy,to lie
llullu,"not yet ripe, green, also k'uku"
llulluch'a,"dry, edible leaves sold by llama herders"
llunk'u,party crasher
llunk'uy,to clean the plate and lick the fingers
llusk'a,slippery ground
llusp'iy,to slip
llust'ay,"to slip, to slide"
llut'ay,"to plaster, to throw mud on the wall"
má,"let's see, well, then"
machasqa,drunk
machay,"to get drunk, to drink liquor"
machu,old
machu machu,"conceited, stuck up, unsociable"
machu minchha,two days after tomorrow
majt'illu,"a joke, also ch'utillu"
maki,"hand, arm"
maki moqo,elbow
maki ñañu,wrist
makina,train (sp.)
mak'alliy,to hug
Malka Mayu,place past Mojotorillo where the Muûoz ancestral lands are located
mak'unku,little green fruit from the potato plant
mallku,young condor
mama,mother
Mama Wata,small village farther on from Mayu Tampu
mamani,hawk; common last name
mana,no
mana jayk'aj,never
mana pipis,no-one
mancharikuy,to be afraid
manchay,very
manka,pot
Mankiri,town near Potosí where a sanctuary is located and a big feria is held
manthi,cup made from a gourd
manu,debt; debtor
manuy,"to loan, to lend (when the equivalent of what is lent is returned, not the thing lent)"
manzana,apple (sp.)
mañakuy,"to ask; to lend, to borrow (the thing lent is returned)"
maqanaku,war
maqanakuy,"to fight, to hit one another"
maqay,to hit
mara onqoy,hives
maran,flat rock used in grinding (its ground upon)
maran uña,round rock used to grind
marq'ay,to carry in the arms
marso,March (sp.)
masay,to knead dough (sp.)
masi,fellow
mask'ay,"to look for, to search"
maskha,how much?
mast'ay,"to spread out, to extend"
mat'iy,"to tighten (belt, tie)"
mawk'a,"old, worn out"
may,where?; very
maych'a,plant with yellow flowers
mayk'aj,"when?, also jayk'aj"
mayk'a,"how much?, also jayk'a"
mayllakuy,to wash oneself
mayllay,to wash
mayqen,which?
mayt'usqa,"huddled, rolled up"
mayt'uy,"to roll, to tie up, to bind"
mayu,river; May (sp.)
Mayu Tampu,village down hill towards Potosí from Betanzos
mercado,market (sp.)
michi,"cat, also misi"
michi khiru,"corn on the cob when it is too young to eat, lit. cat tooth"
Michitu,mountain that faces Tecoya
michiy,to watch the herd of sheep
mich'a,"poor, tight with money"
mikhuchiy,to feed
mikhuna,food
mikhuy,to eat
millay,"repugnant, dirty, ugly"
millma,wool
millu,rock of aluminum sulfate used by witch doctors to diagnose illnesses by its color change when thrown into a fire
millun,million (sp.)
milluy,to use the millu to diagnose a sickness
minchha,day after tomorrow
mini,stick used to pass yarn through the weave in weaving
miniy,to pass yarn through the weave
mink'a,mutual work given for returned work
mink'ay,to hire work for returned work instead of pay; to hire a substitute
miray,to multiply; generation; multiplication
mircadu,market (sp.)
mirkha,"freckles, spots on a woman's face during pregnancy"
mirkha uya,freckle face
misi,"cat, also michi"
misk'ay,to trip
misk'i,"sweet, good tasting"
miskha,early harvest
mistay,to need (sp.)
mita,"time of work, workday (8 hours)"
mitikuy,to mettle (sp.)
mithay,"to tear, to pull apart"
miyay,to urinate
molestay,"to bother, to molest (sp.)"
montanay,"to stack, to mount one on top of another (sp.)"
montanakuy,"to gather, to crowd"
moqo,"mound, hump, joint; small, dwarfed"
moqochinchi,drink made from dried peach and water; dried peach
moqo wasa,hunch back
Mormompa Libron,Book of Mormon
mormon,mormon
morq'o,"ball, round object"
morq'oyapuy,to make numb
mosoj,new
Mosoj Testamento,New Testament
mosoj wata,new year
mosojchay,to make new
mosojmanta,"again, newly"
mosojyay,to become new
mosqoy,"dream, to dream"
muchi,"sore on the face, acne"
muchuy,to suffer
much'ay,to kiss
much'u,back part of the neck
muchhay,to take grain off the corn cob
muchhu,little lamb without horns; (the author's Quechua name - Elder Muchhu)
mujerña,"mature young woman, grown up, now a woman (sp.)"
muju,seed
muk'uy,to make alcoholic beverage from corn dough and saliva (usually drunk in a turu)
mulistay,to bother (sp.)
mulli,type of tree
munakuy,to love
munapayay,to covet
munay,"to want, to desire"
muña,sweet smelling sage brush
muru,woman after her hair has been cut
muruy,to cut or break off the tip of something to cut off the top of trees; to give a haircut
muskiy,to smell
musk'a,livestock feeding bowl made of stone or wood
muspay,to be disoriented
musqoy,to dream; dream
mutiya,small bush with podded fruit
mut'i,boiled grain
mut'iy,to boil grain
muthu,dull (knife)
muthuchay,to make dull
mut'uy,to blossom; to sprout; to break forth
muyoj wayra,whirlwind
muyuy,to go around; surrounding area
na,"uh (recourse word used while thinking, to stall)"
nacechiy,"to bear, to give birth (sp.)"
nacekuy,to be born (sp.)
naday,to swim (sp.)
nanachiy,to make hurt
nanay,to hurt; pain
napaykuy,to greet
naranja,orange (sp.)
naru,little yellow bell-shaped flower
ni,no (sp.)
ni jayk'aj,never
ni pi,no-one
nina,fire
nina nina,little firefly
ninakuy,to consult; to equal
ninri,ear
ninrichay,to deafen
niwa,parasitic insect that invades the feet or hands of its human host
niy,to say
noqa,"I, also ñoqa"
noqanchis,"we (inclusive of person spoken to), also ñoqanchis"
noqayku,"we (exclusive of person spoken to), also ñoqayku"
no se,I don't know (sp.)
nubiemri,November (sp.)
ña,"now, already"
ñach'aj,sound of hitting the head
ñach'akuy,to comb the hair
ñakurutu,little green grasshopper
ñak'arichiy,"to cause pain, to make suffer"
ñak'ariy,"to suffer, to hurt"
ñak'ay,barely
ñan,"road, path, trail"
ñaña,sister's sister
ñañu,"narrow, thin"
ñapis,ready; good
ñaqha,just a moment ago
ñawi,eye
ñawi qara,eyelid
ñawi qechera,eyelashes
ñawi yana,pupil
ñawisapa,big eyed
ñawpachiy,"to advance, to move forward"
ñawpaj,first
Ñawpaj Testamento,Old Testament
ñawpaqe,front
ñawpay,"to lead, to go before"
ñit'iy,to squeeze
